Reference,Purpose,Name,,,Price (CAD),Quantity,Total Price (CAD),,Link
,,,,,,,,,
"C1, C2, C3",Capcitor 10uF,C0805C106K4PACTU,,,0.25,3,0.75,,https://www.digikey.ca/en/products/detail/kemet/C0805C106K4PACTU/2211785?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WkBP7lLAMvvlDLUbFD69MsTgUwk_VgufMvaU2hkenCYErSFq_S_xoxoCr6EQAvD_BwE
"C4, C5",Capcitor 0.01uF,CL05B104KP5NNNC,,,0.14,2,0.28,,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05B104KP5NNNC/3886660
D1,Diode,1N4148-T26A,,,0.14,1,0.14,,https://www.digikey.ca/en/products/detail/onsemi/1N4148-T26A/978507?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WgzT2mj8zpulnXxpqkoquptWjyPNtBOTufv6qOR0rHBdwkc5j1e_ghoC3_wQAvD_BwE
J1,Connector 3 pin,61300311121,,,0.19,1,0.19,,https://www.digikey.ca/en/products/detail/w-rth-elektronik/61300311121/4846825?gclsrc=aw.ds&gad_source=1&gad_campaignid=23152963569&gbraid=0AAAAADrbLlipkn7U1RvO70PcybqlrkeSL&gclid=CjwKCAjw-8vPBhBbEiwAoA39WrlCTRsqhvWvUihr3gWZBycJX_2jpl2KUklLOifuzFgwUVRwhB6kkRoCzBgQAvD_BwE
"J2, ",Connector 4 pin,61300411121,,,0.27,1,0.27,,https://www.digikey.ca/en/products/detail/w-rth-elektronik/61300411121/4846827?gclsrc=aw.ds&gad_source=1&gad_campaignid=23152963569&gbraid=0AAAAADrbLlipkn7U1RvO70PcybqlrkeSL&gclid=CjwKCAjw-8vPBhBbEiwAoA39WvDFveqtGSjd-_1AH222oFaLqdUHrBNNui1jj37yiAr9NkuPfzFMLRoCqv8QAvD_BwE
R1,Resistor 100Ω,RC0805FR-07100RL,,,0.15,1,0.15,,https://www.digikey.ca/en/products/detail/yageo/RC0805FR-07100RL/727543?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WgLBzRKjeOIzQafGLgmoOjsb2XAZ3oiXjozwc9OX7bgUKf0xVN03WBoCJY8QAvD_BwE
R4,Resistor 10K,RC0603FR-1010KL,,,0.15,1,0.15,,https://www.digikey.ca/en/products/detail/yageo/RC0603FR-1010KL/12756395?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WtJo62iV7n2KUrjEj95mcW54eULlsU7a2Krgtj_ctwFujz9uW8shphoCmZ0QAvD_BwE
"SW1, SW2 ",Button,TS02-66-55-BK-160-LCR-D,,,0.17,1,0.17,,https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices-/TS02-66-55-BK-160-LCR-D/15634374?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WoCU6-9PkMpMGihLTqtP6aossQitBhPEYnaihIFrHJ-tK5wcIIHOpRoCCfEQAvD_BwE
U1,MCU,ESP32-S3-WROOM-1-N4R2,,,8.36,1,8.36,,https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N4R2/16162643?gclsrc=aw.ds&gad_source=1&gad_campaignid=23192198598&gbraid=0AAAAADrbLlixzDKMUZ1OJHdHN_dCVQt8l&gclid=CjwKCAjw-8vPBhBbEiwAoA39WgNRkn8fUI61z7b4nO-L0WWQ1ncXk-1k9nVrcrMfJuuawG5FmFqFnxoCy3UQAvD_BwE
U3,OLED,,,,,,,,
U4,Voltage regulator,LD1117AS33TR,,,0.77,1,0.77,,https://www.digikey.ca/en/products/detail/stmicroelectronics/LD1117AS33TR/585752?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39Ws7T9JqKT7nSxteFmGsN-Bjs0i8GnTSDmkOLUwzVdwU4rlCI13JpaRoCMVsQAvD_BwE
U5,RTC,BQ32000D,,,3.76,1,3.76,,https://www.digikey.ca/en/products/detail/texas-instruments/BQ32000D/2231672?gclsrc=aw.ds&gad_source=1&gad_campaignid=17336435733&gbraid=0AAAAADrbLlip1QmN9omSoj73UvL3YjyuU&gclid=CjwKCAjw-8vPBhBbEiwAoA39WrkoOhB-KBEoIEi_y6HbLzud_mdUvZJFLt7Th8-AmMkc784lZVXFzRoCEvgQAvD_BwE
J3,USB power source,UJ31-CH-3-SMT-TR,,,2.41,1,2.41,,https://www.digikey.ca/en/products/detail/same-sky-formerly-cui-devices/UJ31-CH-3-SMT-TR/8024064
Shipping ,,,,,around 8 ,,,,
,,,,,,,,,
 Servo Motor,,SER0006,,,5.23,1,5.23,,https://www.digikey.ca/en/products/detail/dfrobot/SER0006/7597224
filament,for 3d print,,,,16.14,1,16.14,,https://www.amazon.ca/3DHoJor-Filament-1-75mm-Printer-Cardboard/dp/B0B3RMP3LP/ref=sr_1_33?dib=eyJ2IjoiMSJ9._EtAn_ys3DD7MI--bjLJObD1DgNPIT2t4IlV2bPJ0MnXNgKQ7iHm0DS8jUpsd8_aRv6w8sAq0eZG4lNK7FifZeio3pdf8JHtfON3vIV21TnjfDd84qs7orsZEtVRHnn-NR4kXvH25uzdO-q14sh34xdZQvMZ6KYrc0DYaGFJeAGsxFWwICwf_8UM-Gym1asmo6OHcrH-69crTaUfdaNn08UTAdfIFumnnAT5wOPv5XCjd2yrczVduCVOi-c9tncO-4Ne2zgG2VMrMjj_Ey-fehkYlq5DDPBzEUKyPjAA34s.eX2w1E874pZ5q-xCxy8ZKNfzsZxCe-aPOo4LCr--x5Q&dib_tag=se&gad_source=1&hvadid=684763231389&hvdev=c&hvexpln=0&hvlocphy=9000682&hvnetw=g&hvocijid=10814841417276101098--&hvqmt=e&hvrand=10814841417276101098&hvtargid=kwd-303569113812&hydadcr=4778_13384487&keywords=filament+for+3d+printer&mcid=2c2f7dc0aef834e4939b33377aee85f8&qid=1779754947&sr=8-33
4.4mm screw,,,,,0.12,2,0.24,,https://www.homedepot.ca/product/paulin--4-40-x-1-4-in-round-head-square-slot-drive-steel-machine-screw-zinc-plated-34pcs/1000121205?eid=PS_GO_140203__ALL_PLA-526641&pid=1000121205&store=7079
